"PLZ","Station","Glas","Metall","Oel","Textilien"
8055,"Friesenbergstrasse 193","x","x",,"x"
8055,"Gutstrasse 149","x","x","x","x"
8055,"Schweighofstr. 357","x","x","x","x"
8055,"Talwiesenstrasse 169","x","x",,"x"
8055,"Talwiesenstrasse vis-à-vis 118","x","x","x","x"
8057,"Anna-Heer-Strasse vis-à-vis 14","x","x",,"x"
8057,"Hoffeld vis-à-vis 46","x","x","x","x"
8057,"Im Waidegg 1","x","x","x","x"
8057,"Langmauerstrasse 90","x","x",,"x"
8057,"Letzistrasse vis-à-vis 50","x","x",,"x"
8057,"Milchbuckstrasse 2","x","x",,"x"
8057,"Mimosenstrasse vis à vis 1","x","x",,"x"
8057,"Ringstrasse 72","x","x",,"x"
8057,"Viktoriastrasse 34","x","x",,"x"
8057,"Zeppelinstrasse 43","x","x",,
8064,"Bändlistrasse 94","x","x",,"x"
8064,"Grünauring vis-à-vis 25","x","x",,"x"
8064,"Grünauring vis-à-vis 37","x","x",,"x"
8064,"Hardhof 9 bei Wasserversorgung","x","x","x","x"

