"PLZ","Abholdatum"
8041,"2021-03-02"
8041,"2021-06-15"
8041,"2021-09-14"
8041,"2021-11-30"
8044,"2021-03-12"
8044,"2021-06-25"
8044,"2021-09-24"
8044,"2021-12-10"
8045,"2021-03-02"
8045,"2021-06-15"
8045,"2021-09-14"
8045,"2021-11-30"
8046,"2021-03-08"
8046,"2021-06-21"
8046,"2021-09-20"
8046,"2021-12-06"
8047,"2021-03-03"
8047,"2021-06-16"
8047,"2021-09-15"
8047,"2021-12-01"
8048,"2021-03-05"
8048,"2021-06-18"
8048,"2021-09-17"
8048,"2021-12-03"
8049,"2021-03-08"
8049,"2021-06-21"
8049,"2021-09-20"
8049,"2021-12-06"
8050,"2021-03-09"
8050,"2021-06-22"
8050,"2021-09-21"
8050,"2021-12-07"
8051,"2021-03-09"
8051,"2021-06-22"
8051,"2021-09-21"
8051,"2021-12-07"
8052,"2021-03-08"
8052,"2021-06-21"
8052,"2021-09-20"
8052,"2021-12-06"
8053,"2021-03-12"
8053,"2021-06-25"
8053,"2021-09-24"
8053,"2021-12-10"
8055,"2021-03-03"
8055,"2021-06-16"
8055,"2021-09-15"
8055,"2021-12-01"
8057,"2021-03-10"
8057,"2021-06-23"
8057,"2021-09-22"
8057,"2021-12-08"
8064,"2021-03-08"
8064,"2021-06-21"
8064,"2021-09-20"
8064,"2021-12-06"
