"PLZ";"Abholdatum"
8038;"Fr, 14. November 2014"
8038;"Fr, 28. November 2014"
8038;"Fr, 12. Dezember 2014"
8041;"Do, 16. Januar 2014"
8041;"Do, 30. Januar 2014"
8041;"Do, 13. Februar 2014"
8041;"Do, 27. Februar 2014"
8041;"Do, 13. März 2014"
8041;"Do, 27. März 2014"
8041;"Do, 10. April 2014"
8041;"Do, 24. April 2014"
8041;"Do, 8. Mai 2014"
8041;"Do, 22. Mai 2014"
8041;"Do, 5. Juni 2014"
8041;"Do, 19. Juni 2014"
8041;"Do, 3. Juli 2014"
8041;"Do, 17. Juli 2014"
8041;"Do, 31. Juli 2014"
8041;"Do, 14. August 2014"
8041;"Do, 28. August 2014"
8041;"Do, 11. September 2014"
8041;"Do, 25. September 2014"
8041;"Do, 9. Oktober 2014"
8041;"Do, 23. Oktober 2014"
8041;"Do, 6. November 2014"
8041;"Do, 20. November 2014"
8041;"Do, 4. Dezember 2014"
8041;"Do, 18. Dezember 2014"
8044;"Mo, 13. Januar 2014"
8044;"Mo, 27. Januar 2014"
8044;"Mo, 10. Februar 2014"
8044;"Mo, 24. Februar 2014"
8044;"Mo, 10. März 2014"
8044;"Mo, 24. März 2014"
8044;"Mo, 7. April 2014"
8044;"Mo, 5. Mai 2014"
8044;"Mo, 19. Mai 2014"
8044;"Mo, 2. Juni 2014"
8044;"Mo, 16. Juni 2014"
8044;"Mo, 30. Juni 2014"
8044;"Mo, 14. Juli 2014"
8044;"Mo, 28. Juli 2014"
8044;"Mo, 11. August 2014"
8044;"Mo, 25. August 2014"
8044;"Mo, 8. September 2014"
8044;"Mo, 22. September 2014"
8044;"Mo, 6. Oktober 2014"
8044;"Mo, 20. Oktober 2014"
8044;"Mo, 3. November 2014"
8044;"Mo, 17. November 2014"
8044;"Mo, 1. Dezember 2014"
8044;"Mo, 15. Dezember 2014"
8044;"Mo, 29. Dezember 2014"
8045;"Do, 9. Januar 2014"
8045;"Do, 23. Januar 2014"
8045;"Do, 6. Februar 2014"
8045;"Do, 20. Februar 2014"
8045;"Do, 6. März 2014"
8045;"Do, 20. März 2014"
8045;"Do, 3. April 2014"
8045;"Do, 17. April 2014"
8045;"Do, 15. Mai 2014"
8045;"Do, 12. Juni 2014"
8045;"Do, 26. Juni 2014"
8045;"Do, 10. Juli 2014"
8045;"Do, 24. Juli 2014"
8045;"Do, 7. August 2014"
8045;"Do, 21. August 2014"
8045;"Do, 4. September 2014"
8045;"Do, 18. September 2014"
8045;"Do, 2. Oktober 2014"
8045;"Do, 16. Oktober 2014"
8045;"Do, 30. Oktober 2014"
8045;"Do, 13. November 2014"
8045;"Do, 27. November 2014"
8045;"Do, 11. Dezember 2014"
8046;"Di, 7. Januar 2014"
8046;"Di, 21. Januar 2014"
8046;"Di, 4. Februar 2014"
8046;"Di, 18. Februar 2014"
8046;"Di, 4. März 2014"
8046;"Di, 18. März 2014"
8046;"Di, 1. April 2014"
8046;"Di, 15. April 2014"
8046;"Di, 29. April 2014"
8046;"Di, 13. Mai 2014"
8046;"Di, 27. Mai 2014"
8046;"Di, 10. Juni 2014"
8046;"Di, 24. Juni 2014"
8046;"Di, 8. Juli 2014"
8046;"Di, 22. Juli 2014"
8046;"Di, 5. August 2014"
8046;"Di, 19. August 2014"
8046;"Di, 2. September 2014"
8046;"Di, 16. September 2014"
8046;"Di, 30. September 2014"
8046;"Di, 14. Oktober 2014"
8046;"Di, 28. Oktober 2014"
8046;"Di, 11. November 2014"
8046;"Di, 25. November 2014"
8046;"Di, 9. Dezember 2014"
8046;"Di, 23. Dezember 2014"
8047;"Mi, 8. Januar 2014"
8047;"Mi, 22. Januar 2014"
8047;"Mi, 5. Februar 2014"
8047;"Mi, 19. Februar 2014"
8047;"Mi, 5. März 2014"
8047;"Mi, 19. März 2014"
8047;"Mi, 2. April 2014"
8047;"Mi, 16. April 2014"
8047;"Mi, 30. April 2014"
8047;"Mi, 14. Mai 2014"
8047;"Mi, 28. Mai 2014"
8047;"Mi, 11. Juni 2014"
8047;"Mi, 25. Juni 2014"
8047;"Mi, 9. Juli 2014"
8047;"Mi, 23. Juli 2014"
8047;"Mi, 6. August 2014"
8047;"Mi, 20. August 2014"
8047;"Mi, 3. September 2014"
8047;"Mi, 17. September 2014"
8047;"Mi, 1. Oktober 2014"
8047;"Mi, 15. Oktober 2014"
8047;"Mi, 29. Oktober 2014"
8047;"Mi, 12. November 2014"
8047;"Mi, 26. November 2014"
8047;"Mi, 10. Dezember 2014"
8047;"Mi, 24. Dezember 2014"
8048;"Mi, 8. Januar 2014"
8048;"Mi, 22. Januar 2014"
8048;"Mi, 5. Februar 2014"
8048;"Mi, 19. Februar 2014"
8048;"Mi, 5. März 2014"
8048;"Mi, 19. März 2014"
8048;"Mi, 2. April 2014"
8048;"Mi, 16. April 2014"
8048;"Mi, 30. April 2014"
8048;"Mi, 14. Mai 2014"
8048;"Mi, 28. Mai 2014"
8048;"Mi, 11. Juni 2014"
8048;"Mi, 25. Juni 2014"
8048;"Mi, 9. Juli 2014"
8048;"Mi, 23. Juli 2014"
8048;"Mi, 6. August 2014"
8048;"Mi, 20. August 2014"
8048;"Mi, 3. September 2014"
8048;"Mi, 17. September 2014"
8048;"Mi, 1. Oktober 2014"
8048;"Mi, 15. Oktober 2014"
8048;"Mi, 29. Oktober 2014"
8048;"Mi, 12. November 2014"
8048;"Mi, 26. November 2014"
8048;"Mi, 10. Dezember 2014"
8048;"Mi, 24. Dezember 2014"
8049;"Mo, 6. Januar 2014"
8049;"Mo, 20. Januar 2014"
8049;"Mo, 3. Februar 2014"
8049;"Mo, 17. Februar 2014"
8049;"Mo, 3. März 2014"
8049;"Mo, 17. März 2014"
8049;"Mo, 31. März 2014"
