region,zip,area,station,waste_type,col_date
wangen-bruttisellen,8306,,,bulky_goods,2024-06-07
wangen-bruttisellen,8306,,,waste,2024-06-07
wangen-bruttisellen,8306,,,bulky_goods,2024-06-14
wangen-bruttisellen,8306,,,waste,2024-06-14
wangen-bruttisellen,8306,,,bulky_goods,2024-06-21
wangen-bruttisellen,8306,,,waste,2024-06-21
wangen-bruttisellen,8306,,,bulky_goods,2024-06-28
wangen-bruttisellen,8306,,,waste,2024-06-28
wangen-bruttisellen,8306,,,cardboard,2024-07-03
wangen-bruttisellen,8306,,,bulky_goods,2024-07-05
wangen-bruttisellen,8306,,,waste,2024-07-05
wangen-bruttisellen,8306,,,paper,2024-07-06
wangen-bruttisellen,8306,,,bulky_goods,2024-07-12
wangen-bruttisellen,8306,,,waste,2024-07-12
wangen-bruttisellen,8306,,,bulky_goods,2024-07-19
wangen-bruttisellen,8306,,,waste,2024-07-19
wangen-bruttisellen,8306,,,bulky_goods,2024-07-26
wangen-bruttisellen,8306,,,waste,2024-07-26
wangen-bruttisellen,8306,,,bulky_goods,2024-08-02
wangen-bruttisellen,8306,,,waste,2024-08-02
wangen-bruttisellen,8306,,,paper,2024-08-03
wangen-bruttisellen,8306,,,cardboard,2024-08-07
wangen-bruttisellen,8306,,,bulky_goods,2024-08-09
wangen-bruttisellen,8306,,,waste,2024-08-09
wangen-bruttisellen,8306,,,bulky_goods,2024-08-16
wangen-bruttisellen,8306,,,waste,2024-08-16
wangen-bruttisellen,8306,,,bulky_goods,2024-08-23
wangen-bruttisellen,8306,,,waste,2024-08-23
wangen-bruttisellen,8306,,,bulky_goods,2024-08-30
wangen-bruttisellen,8306,,,waste,2024-08-30
wangen-bruttisellen,8306,,,cardboard,2024-09-04
wangen-bruttisellen,8306,,,bulky_goods,2024-09-06
wangen-bruttisellen,8306,,,waste,2024-09-06
wangen-bruttisellen,8306,,,paper,2024-09-07
wangen-bruttisellen,8306,,,special,2024-09-11
wangen-bruttisellen,8306,,,bulky_goods,2024-09-13
